,City Name,Hotel Name,Overall Ratings ,Hotel Comments,individual ratings
3562,Kuala Lumpur,Vortex KLCC Apartments,8.2,So far its good.,9
3563,Kuala Lumpur,Vortex KLCC Apartments,8.2,Very Good,8
3564,Kuala Lumpur,Vortex KLCC Apartments,8.2,Wonderful,9
3565,Kuala Lumpur,Vortex KLCC Apartments,8.2,Good,7
3566,Kuala Lumpur,Vortex KLCC Apartments,8.2,Superb stay,10
3567,Kuala Lumpur,Vortex KLCC Apartments,8.2,Good,7
3568,Kuala Lumpur,Vortex KLCC Apartments,8.2,Bad,1
3569,Kuala Lumpur,Vortex KLCC Apartments,8.2,Wonderful,9
3570,Kuala Lumpur,Vortex KLCC Apartments,8.2,"overall it was a fairly good stay would go again, hopefully concerns would be addressed.",7
3571,Kuala Lumpur,Vortex KLCC Apartments,8.2,Good,7
3572,Kuala Lumpur,Vortex KLCC Apartments,8.2,Good,7
3573,Kuala Lumpur,Vortex KLCC Apartments,8.2,Good,7
3574,Kuala Lumpur,Vortex KLCC Apartments,8.2,Very Good,8
3575,Kuala Lumpur,Vortex KLCC Apartments,8.2,Wonderful,9
3576,Kuala Lumpur,Vortex KLCC Apartments,8.2,quit good...,9
3577,Kuala Lumpur,Vortex KLCC Apartments,8.2,Exceptional,10
3578,Kuala Lumpur,Vortex KLCC Apartments,8.2,Very Good,8
3579,Kuala Lumpur,Vortex KLCC Apartments,8.2,pleasant stay,10
3580,Kuala Lumpur,Vortex KLCC Apartments,8.2,Exceptional,10
3581,Kuala Lumpur,Vortex KLCC Apartments,8.2,Wonderful,9
3582,Kuala Lumpur,Vortex KLCC Apartments,8.2,Poor,3
3583,Kuala Lumpur,Vortex KLCC Apartments,8.2,Wonderful,9
3584,Kuala Lumpur,Vortex KLCC Apartments,8.2,Very Good,8
3585,Kuala Lumpur,Vortex KLCC Apartments,8.2,Very Good,8
3586,Kuala Lumpur,Vortex KLCC Apartments,8.2,Very Good,8
3587,Kuala Lumpur,Vortex KLCC Apartments,8.2,Poor,3
3588,Kuala Lumpur,Vortex KLCC Apartments,8.2,Exceptional,10
3589,Kuala Lumpur,Vortex KLCC Apartments,8.2,Exceptional,10
3590,Kuala Lumpur,Vortex KLCC Apartments,8.2,Very Good,8
3591,Kuala Lumpur,Vortex KLCC Apartments,8.2,Wonderful,9
3592,Kuala Lumpur,Vortex KLCC Apartments,8.2,Awesome!,9
3593,Kuala Lumpur,Vortex KLCC Apartments,8.2,Wonderful,9
3594,Kuala Lumpur,Vortex KLCC Apartments,8.2,Exceptional,10
3595,Kuala Lumpur,Vortex KLCC Apartments,8.2,Very Good,8
3596,Kuala Lumpur,Vortex KLCC Apartments,8.2,Good,7
3597,Kuala Lumpur,Vortex KLCC Apartments,8.2,Wonderful,9
3598,Kuala Lumpur,Vortex KLCC Apartments,8.2,Very Good,8
3599,Kuala Lumpur,Vortex KLCC Apartments,8.2,Will repeat.,10
3600,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,the rooms we well kept,10
3601,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Exceptional,10
3602,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,It was very comforting. Truly recommended.,9
3603,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Exceptional,10
3604,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Exceptional,10
3605,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,great,10
3606,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Exceptional,10
3607,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Very Good,8
3608,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Exceptional,10
3609,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Good stay with facilities beyond expectations.,8
3610,Kuala Lumpur,Expressionz KLCC by Wodages,8.1,Wonderful,9
