,Positive Scores,Negative Scores,Neutral Scores,Compound Scores,individual ratings
3608,0,0,1,0,10
3609,0.367,0,0.633,0.4404,8
3610,1,0,0,0.5719,9
3611,0.264,0,0.736,0.4983,5
3612,0,0,1,0,10
3613,0,0,1,0,10
3614,0.762,0,0.238,0.4927,8
3615,0,0.269,0.731,-0.4482,7
3616,0,0,1,0,10
3617,0,0,1,0,10
3618,0,0.577,0.423,-0.6249,1
3619,0,1,0,-0.4939,4
3620,1,0,0,0.5859,10
3621,0.762,0,0.238,0.4927,8
3622,0.163,0.209,0.628,-0.0951,2
3623,1,0,0,0.4404,7
3624,0,0,1,0,10
3625,0.762,0,0.238,0.4927,8
3626,0,0,1,0,10
3627,0.762,0,0.238,0.4927,8
3628,1,0,0,0.5106,6
3629,0,1,0,-0.5423,1
3630,1,0,0,0.5719,9
3631,0.762,0,0.238,0.4927,8
3632,0.326,0,0.674,0.4404,10
3633,1,0,0,0.5106,6
3634,0,1,0,-0.4939,4
3635,1,0,0,0.5719,9
3636,1,0,0,0.4215,9
3637,0.762,0,0.238,0.4927,8
3638,0.195,0,0.805,0.4404,8
3639,0,0,1,0,10
3640,0,0,1,0,10
3641,0.688,0,0.312,0.296,7
3642,0,0,1,0,10
3643,0,0,1,0,10
3644,0,0,1,0,10
3645,0,0.772,0.228,-0.5256,2
3646,0,0,1,0,10
3647,0.762,0,0.238,0.4927,8
3648,0.762,0,0.238,0.4927,8
3649,0.473,0,0.527,0.5563,9
3650,0.762,0,0.238,0.4927,8
3651,1,0,0,0.5106,6
3652,0,0,1,0,10
3653,0,0,1,0,10
3654,0.762,0,0.238,0.4927,8
3655,1,0,0,0.5574,10
3656,0.762,0,0.238,0.4927,8
3657,0,0,1,0,10
3658,1,0,0,0.4404,7
3659,0,0,1,0,10
3660,1,0,0,0.4404,7
3661,0,0,1,0,10
3662,1,0,0,0.5719,9
3663,0,0,1,0,10
3664,0.762,0,0.238,0.4927,8
3665,0,0,1,0,10
3666,0,0,1,0,10
3667,0,0,1,0,10
3668,0,0,1,0,10
3669,0,0,1,0,10
3670,1,0,0,0.4404,7
3671,0,0,1,0,10
3672,1,0,0,0.4404,7
3673,0,0,1,0,10
3674,0.762,0,0.238,0.4927,8
3675,1,0,0,0.4404,7
3676,1,0,0,0.4404,8
3677,1,0,0,0.5719,9
3678,0,0,1,0,10
3679,1,0,0,0.4926,10
3680,0.762,0,0.238,0.4927,8
3681,0,1,0,-0.4939,4
3682,0.762,0,0.238,0.4927,8
3683,1,0,0,0.3182,5
3684,0,1,0,-0.4939,4
3685,1,0,0,0.5719,9
3686,0,1,0,-0.4939,4
3687,0,0,1,0,10
3688,0,0,1,0,10
3689,0,1,0,-0.4939,4
3690,0.762,0,0.238,0.4927,8
3691,0.808,0,0.192,0.6369,10
3692,1,0,0,0.5719,9
3693,0.762,0,0.238,0.4927,8
3694,0.744,0,0.256,0.4404,10
3695,1,0,0,0.5719,9
3696,0.787,0,0.213,0.5719,10
3697,1,0,0,0.5719,9
3698,0.762,0,0.238,0.4927,8
3699,0.762,0,0.238,0.4927,8
3700,0.762,0,0.238,0.4927,8
3701,0,0,1,0,10
3702,0,0,1,0,10
3703,1,0,0,0.5106,6
3704,0,0,1,0,10
3705,0,0,1,0,10
3706,0,0,1,0,10
3707,1,0,0,0.5106,6
3708,0,0,1,0,10
3709,0,0,1,0,10
3710,1,0,0,0.3182,5
3711,0,0,1,0,10
3712,0,0,1,0,10
3713,1,0,0,0.5106,6
3714,0.744,0,0.256,0.4404,10
3715,1,0,0,0.5106,6
3716,0.762,0,0.238,0.4927,8
3717,0,0,1,0,10
3718,0,0,1,0,10
3719,1,0,0,0.4404,7
3720,1,0,0,0.4404,7
3721,0.141,0,0.859,0.4215,10
3722,0.762,0,0.238,0.4927,8
3723,0.651,0,0.349,0.6808,8
3724,0,0,1,0,10
3725,0.58,0,0.42,0.9582,8
3726,0.762,0,0.238,0.4927,8
3727,1,0,0,0.5719,9
3728,0.756,0,0.244,0.4754,8
3729,0,0,1,0,10
3730,0.744,0,0.256,0.4404,7
3731,0,0,1,0,10
3732,0.302,0,0.698,0.7224,10
3733,1,0,0,0.4404,7
3734,1,0,0,0.4404,7
3735,1,0,0,0.5719,9
3736,1,0,0,0.4404,7
3737,1,0,0,0.4404,7
3738,0,0,1,0,10
3739,1,0,0,0.3182,5
3740,1,0,0,0.5719,9
3741,0.762,0,0.238,0.4927,8
3742,0,0,1,0,10
3743,0.583,0,0.417,0.4215,7
3744,0,0.772,0.228,-0.5256,2
3745,1,0,0,0.4404,7
3746,1,0,0,0.2023,9
3747,0.762,0,0.238,0.4927,8
3748,1,0,0,0.5719,9
3749,0,0,1,0,10
3750,1,0,0,0.3182,5
3751,1,0,0,0.3182,5
3752,0,0,1,0,10
3753,0.762,0,0.238,0.4927,8
3754,1,0,0,0.4404,7
3755,0,0,1,0,10
3756,1,0,0,0.4404,7
3757,0,0,1,0,10
3758,0,0,1,0,10
3759,1,0,0,0.5719,9
3760,1,0,0,0.3182,5
3761,1,0,0,0.5719,9
3762,0.762,0,0.238,0.4927,8
3763,1,0,0,0.4404,7
3764,0,1,0,-0.5423,1
3765,0,0,1,0,10
3766,0.762,0,0.238,0.4927,8
3767,1,0,0,0.5719,9
3768,0.762,0,0.238,0.4927,8
3769,1,0,0,0.3182,5
3770,1,0,0,0.5719,9
3771,0,0,1,0,10
3772,0,0,1,0,10
3773,0.762,0,0.238,0.4927,8
3774,0,0,1,0,10
3775,1,0,0,0.5719,9
3776,1,0,0,0.3182,5
3777,0,0,1,0,10
3778,1,0,0,0.4404,7
3779,1,0,0,0.4404,7
3780,1,0,0,0.4404,7
3781,1,0,0,0.4404,7
3782,0,0.772,0.228,-0.5256,2
3783,0.762,0,0.238,0.4927,8
3784,1,0,0,0.4404,7
3785,0.762,0,0.238,0.4927,8
3786,1,0,0,0.5106,9
3787,1,0,0,0.4404,7
3788,0,0,1,0,6
3789,1,0,0,0.5719,9
3790,0,1,0,-0.5423,1
3791,0.762,0,0.238,0.4927,8
3792,0.762,0,0.238,0.4927,8
3793,1,0,0,0.5719,9
3794,1,0,0,0.5719,9
3795,0.762,0,0.238,0.4927,8
3796,0,0,1,0,10
3797,0.508,0,0.492,0.7351,8
3798,1,0,0,0.5719,9
3799,1,0,0,0.4404,7
3800,0,1,0,-0.5423,1
3801,0,0,1,0,10
3802,0,0,1,0,10
3803,0,0,1,0,10
3804,1,0,0,0.4404,8
3805,0,0,1,0,10
3806,0.174,0.078,0.749,0.2023,4
3807,0.483,0,0.517,0.6808,6
3808,1,0,0,0.5719,9
3809,1,0,0,0.4404,7
3810,0.483,0,0.517,0.6808,6
3811,1,0,0,0.5719,9
3812,1,0,0,0.4404,7
3813,0.762,0,0.238,0.4927,8
3814,0,0,1,0,10
3815,0,0,1,0,10
3816,1,0,0,0.4404,6
3817,1,0,0,0.4404,7
3818,0.762,0,0.238,0.4927,8
3819,1,0,0,0.4404,10
3820,0,0,1,0,10
3821,1,0,0,0.4404,7
3822,0,0,1,0,10
3823,0.762,0,0.238,0.4927,8
3824,0,1,0,-0.5423,1
3825,0,0.595,0.405,-0.5267,4
3826,0.762,0,0.238,0.4927,8
3827,1,0,0,0.5106,6
3828,1,0,0,0.4404,7
3829,0,0,1,0,10
3830,1,0,0,0.2263,7
3831,1,0,0,0.4404,7
3832,1,0,0,0.5719,9
3833,1,0,0,0.4404,7
3834,0.787,0,0.213,0.5719,8
3835,0.583,0,0.417,0.4215,7
3836,0.762,0,0.238,0.4927,8
3837,0.762,0,0.238,0.4927,8
3838,0.762,0,0.238,0.4927,8
3839,0,0,1,0,10
3840,0,0,1,0,10
3841,0,0,1,0,10
3842,1,0,0,0.5719,9
3843,1,0,0,0.5719,9
3844,0,0,1,0,10
3845,0.762,0,0.238,0.4927,8
3846,0,0,1,0,10
3847,0,0,1,0,10
3848,0.762,0,0.238,0.4927,8
3849,0,0,1,0,10
3850,0,0,1,0,10
3851,0.434,0,0.566,0.8481,6
3852,1,0,0,0.3182,5
3853,1,0,0,0.5719,9
3854,0,0,1,0,10
3855,1,0,0,0.3182,5
3856,1,0,0,0.4404,7
3857,0,0,1,0,10
3858,0,0,1,0,10
3859,1,0,0,0.5719,9
3860,0.708,0,0.292,0.9388,10
3861,0,0,1,0,10
3862,0.762,0,0.238,0.4927,8
3863,1,0,0,0.5719,9
3864,1,0,0,0.4404,7
3865,0,0,1,0,10
3866,0.762,0,0.238,0.4927,8
3867,0,0,1,0,8
3868,0.762,0,0.238,0.4927,8
3869,0.762,0,0.238,0.4927,8
3870,0,0,1,0,8
3871,0.762,0,0.238,0.4927,8
3872,0.762,0,0.238,0.4927,8
3873,0,0,1,0,10
3874,1,0,0,0.3182,5
3875,1,0,0,0.5719,9
3876,0.762,0,0.238,0.4927,8
3877,1,0,0,0.5106,6
3878,0,0,1,0,10
3879,0,0,1,0,10
3880,1,0,0,0.4404,7
3881,0,0,1,0,10
3882,0,0,1,0,10
3883,1,0,0,0.5719,9
3884,0,0,1,0,10
